mass [g],459,eprSpeed [mVps],500
time,eprVin,distance,
508,1839,116,
509,1827,118,
509,1814,123,
509,1801,119,
510,1789,118,
511,1777,119,
512,1765,120,
513,1753,118,
514,1741,120,
515,1729,117,
516,1717,119,
516,1704,119,
517,1692,116,
517,1680,121,
518,1667,119,
519,1655,119,
520,1643,115,
521,1631,121,
522,1619,117,
523,1607,119,
524,1595,118,
524,1582,116,
525,1569,115,
526,1557,118,
526,1545,115,
527,1532,117,
528,1520,117,
530,1508,120,
531,1496,119,
531,1483,120,
532,1471,117,
533,1459,116,
533,1446,121,
534,1433,119,
535,1421,118,
536,1409,114,
537,1397,117,
538,1385,119,
539,1373,117,
540,1361,118,
540,1348,115,
541,1335,116,
542,1323,118,
542,1311,116,
543,1298,116,
544,1286,114,
545,1274,114,
546,1262,117,
547,1250,112,
548,1238,120,
549,1226,117,
549,1214,116,
550,1201,115,
551,1189,116,
552,1177,115,
553,1165,116,
554,1153,115,
555,1141,115,
556,1129,111,
556,1117,116,
556,1104,114,
557,1092,117,
557,1079,112,
558,1067,112,
559,1055,113,
560,1043,115,
561,1031,115,
562,1019,112,
563,1007,114,
564,995,114,
565,983,116,
565,971,113,
566,959,110,
567,947,112,
567,934,117,
567,922,111,
568,909,113,
569,897,110,
570,885,115,
571,873,113,
572,861,112,
573,849,111,
573,836,109,
573,824,113,
574,811,112,
575,799,113,
576,787,111,
577,775,110,
578,763,110,
579,751,109,
579,738,109,
580,726,108,
581,714,110,
582,702,109,
582,689,112,
583,677,110,
584,665,109,
585,653,109,
587,641,110,
588,629,111,
589,617,109,
590,605,107,
590,593,108,
590,580,107,
591,568,109,
591,555,107,
591,543,107,
592,530,106,
593,518,106,
594,506,107,
595,494,102,
596,482,105,
597,470,105,
598,458,105,
599,446,105,
600,434,105,
601,422,103,
601,409,105,
602,397,101,
603,385,105,
604,373,100,
604,360,100,
605,348,104,
606,336,102,
607,324,103,
607,312,98,
607,300,101,
608,288,103,
609,276,99,
610,264,100,
611,252,99,
612,240,96,
613,228,99,
614,216,100,
614,204,100,
614,191,96,
614,178,98,
615,166,101,
616,154,99,
616,141,100,
616,128,103,
617,115,96,
618,103,97,
619,91,98,
620,79,99,
621,67,98,
622,55,98,
622,42,95,
